sheet,cell,media_name,stack_bb,hero_pos,villain_pos,spot,suggested_filename,positions_found,spot_hints,near_up,near_left,near_corner
Main,B14,image108.png,15bb,CO,UTG,rfi,15bb_co_vs_utg_Main_B14.png,CO;BTN;SB;BB;UTG,,,,
Main,C14,image108.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_C14.png,HJ;SB;BB;UTG,,,,
Main,B15,image109.png,15bb,BTN,UTG,rfi,15bb_btn_vs_utg_Main_B15.png,BTN;SB;BB;UTG;HJ,,,,
Main,C15,image109.png,15bb,CO,UTG,rfi,15bb_co_vs_utg_Main_C15.png,CO;BB;UTG;HJ,,,,
Main,B16,image110.png,15bb,SB,UTG,rfi,15bb_sb_vs_utg_Main_B16.png,SB;BB;UTG;HJ;CO,,,,
Main,C16,image110.png,15bb,BTN,UTG,rfi,15bb_btn_vs_utg_Main_C16.png,BTN;UTG;HJ;CO,,,,
Main,B17,image111.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_B17.png,BB;UTG;HJ;CO;BTN,,,,
Main,C17,image111.png,15bb,SB,UTG,rfi,15bb_sb_vs_utg_Main_C17.png,SB;UTG;HJ;CO;BTN,,,,
Main,B18,image112.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_B18.png,UTG;HJ;CO;BTN;SB,,,,
Main,C18,image112.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_C18.png,BB;UTG;HJ;CO;BTN;SB,,,,
Main,B11,image113.png,15bb,UTG,UTG,jam,15bb_utg_vs_utg_Main_B11.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,B12,image114.png,15bb,HJ,UTG,jam,15bb_hj_vs_utg_Main_B12.png,HJ;CO;BTN;SB;BB;UTG,,,,
Main,C12,image114.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C12.png,UTG;CO;BTN;SB;BB,,,,
Main,C11,image115.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C11.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,B25,image116.png,15bb,SB,UTG,rfi,15bb_sb_vs_utg_Main_B25.png,SB;BB;UTG,,,,
